order_id,customer_id,seller_id,order_date,delivery_date,order_total_price,quantity,payment_method,discount
1,6428,742,2025-09-02,2026-05-16,807.05,7,Visa,15.87
2,6577,276,2025-07-02,2026-09-12,1172.79,3,MasterCard,9.41
3,7663,780,2025-08-25,2026-09-29,1107.28,1,MasterCard,15.96
4,6553,58,2025-05-22,2026-09-07,1405.47,5,Visa,2.52
5,5126,878,2024-07-28,2025-03-20,816.54,6,Chase,1.46
6,8652,677,2024-01-20,2025-05-02,938.51,3,American Express,23.08
7,676,815,2025-07-04,2025-01-26,1347.28,3,American Express,19.41
8,1481,958,2025-02-01,2025-10-28,727.53,10,American Express,7.5
9,5937,197,2025-06-26,2026-04-23,1190.85,6,Discover,4.38
10,4264,733,2024-07-09,2025-07-18,1206.97,3,American Express,5.61
11,6480,140,2025-05-16,2026-01-08,952.76,1,Chase,22.04
12,1933,630,2024-07-16,2025-03-03,515.01,8,American Express,14.29
13,4959,614,2024-11-21,2025-08-11,652.59,6,Chase,11.16
14,5269,148,2025-07-18,2025-12-30,1206.84,2,Discover,10.2
15,187,891,2025-04-26,2025-04-15,859.82,9,Visa,16.7
16,4964,246,2024-12-20,2026-04-28,1382.08,9,Chase,5.26
17,1859,826,2025-08-05,2025-05-23,817.88,1,American Express,9.47
18,2847,587,2024-10-12,2026-10-03,634.55,8,Visa,23.85
19,7697,560,2025-02-08,2026-12-21,575.28,2,Discover,6.8
20,919,879,2024-01-13,2025-07-20,533.78,6,Chase,12.6
21,9448,776,2025-06-19,2025-03-14,860.97,8,Visa,2.9
22,1411,669,2025-09-14,2025-07-09,1068.74,4,Discover,23.21
23,8596,429,2025-08-15,2026-06-02,720.35,8,American Express,6.27
24,8466,522,2024-02-05,2026-10-11,879.5,7,Visa,7.98
25,3334,879,2024-11-25,2026-02-21,993.23,2,American Express,9.51
26,2393,745,2024-01-03,2026-03-05,807.85,4,Chase,7.8
27,689,695,2024-04-25,2025-08-03,539.96,6,MasterCard,5.91
28,2918,602,2024-01-26,2025-06-02,522.79,6,MasterCard,24.25
29,3737,986,2025-04-25,2026-12-07,801.91,7,Chase,24.84
30,7737,289,2024-11-07,2026-10-26,1483.13,9,Chase,10.61
31,7834,824,2024-02-03,2026-06-15,864.35,9,MasterCard,9.93
